epoch,learning_rate,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,9.999999747378752e-05,0.4518900513648987,0.6638211011886597,0.7779822945594788,1.0526307821273804
1,9.999999747378752e-05,0.343973308801651,0.53035968542099,1.117864727973938,1.4329394102096558
2,9.999999747378752e-05,0.2922593653202057,0.4590437412261963,0.9685531258583069,1.2955546379089355
3,9.999999747378752e-05,0.2716783881187439,0.4130168557167053,0.7892240881919861,1.0841864347457886
4,9.999999747378752e-05,0.25634604692459106,0.40696069598197937,0.6970226168632507,0.9646632671356201
5,9.999999747378752e-05,0.25068971514701843,0.3945615589618683,0.6546628475189209,0.9237872362136841
6,1.9999999494757503e-05,0.24717414379119873,0.4015083611011505,0.624236524105072,0.891364574432373
7,1.9999999494757503e-05,0.2662375271320343,0.4432942271232605,0.5930774807929993,0.8600358963012695
8,1.9999999494757503e-05,0.22358399629592896,0.3666892349720001,0.5734888315200806,0.844991147518158
9,1.9999999494757503e-05,0.2099205106496811,0.3567699193954468,0.5638264417648315,0.832343339920044
10,1.9999999494757503e-05,0.21486802399158478,0.35144180059432983,0.5535879731178284,0.8210633993148804
11,1.9999999494757503e-05,0.2121109664440155,0.34575241804122925,0.5313088297843933,0.7955211997032166
